frame_idx_rel,frame_idx_abs,t_video,filename,width,height,timestamp_src,throttle,brakes,car0_velocity,wheel_position,steering_angle_rad
0,240,0.0,frame_000000.jpg,960,300,23.1125,0.0,0.0,0.0617504,0.0,0.0
1,241,0.016666666666666666,frame_000001.jpg,960,300,23.1335,0.0,0.0,0.0539756,0.0,0.0
2,242,0.03333333333333333,frame_000002.jpg,960,300,23.145,0.0,0.0,0.0492265,0.0,0.0
3,243,0.05,frame_000003.jpg,960,300,23.1659,0.0,0.0,0.0381813,0.0,0.0
4,244,0.06666666666666667,frame_000004.jpg,960,300,23.1749,0.0,0.0,0.031479,0.0,0.0
5,245,0.08333333333333333,frame_000005.jpg,960,300,23.1979,0.0,0.0,0.0180857,0.0,0.0
6,246,0.1,frame_000006.jpg,960,300,23.2079,0.0,0.0,0.0117042,0.0,0.0
7,247,0.11666666666666667,frame_000007.jpg,960,300,23.2287,0.0,0.0,0.00315877,0.0,0.0
8,248,0.13333333333333333,frame_000008.jpg,960,300,23.2499,0.0,0.0,0.014247,0.0,0.0
9,249,0.15,frame_000009.jpg,960,300,23.2599,0.0,0.0,0.0197131,0.0,0.0
10,250,0.16666666666666666,frame_000010.jpg,960,300,23.2741,0.0,0.0,0.0253969,0.0,0.0
11,251,0.18333333333333332,frame_000011.jpg,960,300,23.295,0.00066,0.0,0.0330542,0.0,0.0
12,252,0.2,frame_000012.jpg,960,300,23.3169,0.0,0.0,0.0370315,0.0,0.0
13,253,0.21666666666666667,frame_000013.jpg,960,300,23.3255,0.0,0.0,0.0381377,0.0,0.0
14,254,0.23333333333333334,frame_000014.jpg,960,300,23.349,0.00066,0.0,0.038262,0.0,0.0
15,255,0.25,frame_000015.jpg,960,300,23.3691,0.0,0.0,0.0358104,0.0,0.0
16,256,0.26666666666666666,frame_000016.jpg,960,300,23.3789,0.0,0.0,0.0339123,0.0,0.0
17,257,0.2833333333333333,frame_000017.jpg,960,300,23.399,0.0,0.0,0.0286177,0.0,0.0
18,258,0.3,frame_000018.jpg,960,300,23.4099,0.0,0.0,0.0259108,0.0,0.0
19,259,0.31666666666666665,frame_000019.jpg,960,300,23.4306,0.0,0.0,0.0192449,0.0,0.0
20,260,0.3333333333333333,frame_000020.jpg,960,300,23.4497,0.0,0.0,0.011406,0.0,0.0
21,261,0.35,frame_000021.jpg,960,300,23.4607,0.0,0.0,0.0114417,0.0,0.0
22,262,0.36666666666666664,frame_000022.jpg,960,300,23.4834,0.0,0.0,0.0344596,0.0,0.0
23,263,0.38333333333333336,frame_000023.jpg,960,300,23.4915,0.0,0.0,0.0348781,0.0,0.0
24,264,0.4,frame_000024.jpg,960,300,23.5144,0.00066,0.0,0.0153634,0.0,0.0
25,265,0.4166666666666667,frame_000025.jpg,960,300,23.5253,0.00066,0.0,0.0132707,0.0,0.0
26,266,0.43333333333333335,frame_000026.jpg,960,300,23.5452,0.0,0.0,0.0238603,0.0,0.0
27,267,0.45,frame_000027.jpg,960,300,23.5642,0.0,0.0,0.0330632,0.0,0.0
28,268,0.4666666666666667,frame_000028.jpg,960,300,23.5755,0.0,0.0,0.0280777,0.0,0.0
29,269,0.48333333333333334,frame_000029.jpg,960,300,23.5988,0.0,0.0,0.0217446,0.0,0.0
30,270,0.5,frame_000030.jpg,960,300,23.6087,0.0,0.0,0.0216422,0.0,0.0
31,271,0.5166666666666667,frame_000031.jpg,960,300,23.6296,0.0,0.0,0.0257957,0.0,0.0
32,272,0.5333333333333333,frame_000032.jpg,960,300,23.6409,0.0,0.0,0.0248166,0.0,0.0
33,273,0.55,frame_000033.jpg,960,300,23.6654,0.0,0.0,0.0153653,0.0,0.0
34,274,0.5666666666666667,frame_000034.jpg,960,300,23.6753,0.0,0.0,0.01316,0.0,0.0
35,275,0.5833333333333334,frame_000035.jpg,960,300,23.697,0.0,0.0,0.0123068,0.0,0.0
36,276,0.6,frame_000036.jpg,960,300,23.7155,0.0,0.0,0.0093236,0.0,0.0
37,277,0.6166666666666667,frame_000037.jpg,960,300,23.7291,0.0,0.0,0.00473003,0.0,0.0
38,278,0.6333333333333333,frame_000038.jpg,960,300,23.7515,0.0,0.0,0.00229945,0.0,0.0
39,279,0.65,frame_000039.jpg,960,300,23.7605,0.0,0.0,0.00486602,0.0,0.0
40,280,0.6666666666666666,frame_000040.jpg,960,300,23.7805,0.0,0.0,0.00873688,0.0,0.0
41,281,0.6833333333333333,frame_000041.jpg,960,300,23.79,0.00066,0.0,0.00963943,0.0,0.0
42,282,0.7,frame_000042.jpg,960,300,23.8104,0.0,0.0,0.0109302,0.0,0.0
43,283,0.7166666666666667,frame_000043.jpg,960,300,23.8305,0.0,0.0,0.0121782,0.0,0.0
44,284,0.7333333333333333,frame_000044.jpg,960,300,23.8449,0.0,0.0,0.0124806,0.0,0.0
45,285,0.75,frame_000045.jpg,960,300,23.8639,0.0,0.0,0.0125052,0.0,0.0
46,286,0.7666666666666667,frame_000046.jpg,960,300,23.8748,0.0,0.0,0.0121157,0.0,0.0
47,287,0.7833333333333333,frame_000047.jpg,960,300,23.896,0.00066,0.0,0.0107591,0.0,0.0
48,288,0.8,frame_000048.jpg,960,300,23.9072,0.0,0.0,0.0099412,0.0,0.0
49,289,0.8166666666666667,frame_000049.jpg,960,300,23.9297,0.0,0.0,0.00788457,0.0,0.0
50,290,0.8333333333333334,frame_000050.jpg,960,300,23.9487,0.0,0.0,0.00540339,0.0,0.0
51,291,0.85,frame_000051.jpg,960,300,23.9587,0.0,0.0,0.00432836,0.0,0.0
52,292,0.8666666666666667,frame_000052.jpg,960,300,23.9796,0.0,0.0,0.00300097,0.0,0.0
53,293,0.8833333333333333,frame_000053.jpg,960,300,23.9905,0.0,0.0,0.00303997,0.0,0.0
54,294,0.9,frame_000054.jpg,960,300,24.0144,0.0,0.0,0.00351103,0.0,0.0
55,295,0.9166666666666666,frame_000055.jpg,960,300,24.0253,0.0,0.0,0.00388325,0.0,0.0
56,296,0.9333333333333333,frame_000056.jpg,960,300,24.047,0.0,0.0,0.00483728,0.0,0.0
57,297,0.95,frame_000057.jpg,960,300,24.0655,0.0,0.0,0.00604645,0.0,0.0
58,298,0.9666666666666667,frame_000058.jpg,960,300,24.0791,0.0,0.0,0.00649781,0.0,0.0
59,299,0.9833333333333333,frame_000059.jpg,960,300,24.0983,0.00066,0.0,0.00706267,0.0,0.0
60,300,1.0,frame_000060.jpg,960,300,24.1082,0.00066,0.0,0.00721249,0.0,0.0
61,301,1.0166666666666666,frame_000061.jpg,960,300,24.131,0.0,0.0,0.00730812,0.0,0.0
62,302,1.0333333333333334,frame_000062.jpg,960,300,24.1409,0.0,0.0,0.00717255,0.0,0.0
63,303,1.05,frame_000063.jpg,960,300,24.1628,0.0,0.0,0.00653463,0.0,0.0
64,304,1.0666666666666667,frame_000064.jpg,960,300,24.1828,0.0,0.0,0.00535898,0.0,0.0
65,305,1.0833333333333333,frame_000065.jpg,960,300,24.192,0.0,0.0,0.00451337,0.0,0.0
66,306,1.1,frame_000066.jpg,960,300,24.2147,0.0,0.0,0.00275452,0.0,0.0
67,307,1.1166666666666667,frame_000067.jpg,960,300,24.224,0.0,0.0,0.00188525,0.0,0.0
68,308,1.1333333333333333,frame_000068.jpg,960,300,24.2446,0.0,0.0,0.000703331,0.0,0.0
69,309,1.15,frame_000069.jpg,960,300,24.2645,0.0,0.0,0.00202627,0.0,0.0
70,310,1.1666666666666667,frame_000070.jpg,960,300,24.2755,0.00066,0.0,0.0029564,0.0,0.0
71,311,1.1833333333333333,frame_000071.jpg,960,300,24.2994,0.0,0.0,0.00400058,0.0,0.0
72,312,1.2,frame_000072.jpg,960,300,24.3095,0.0,0.0,0.00423747,0.0,0.0
73,313,1.2166666666666666,frame_000073.jpg,960,300,24.3294,0.0,0.0,0.00412423,0.0,0.0
74,314,1.2333333333333334,frame_000074.jpg,960,300,24.351,0.0,0.0,0.0040794,0.0,0.0
75,315,1.25,frame_000075.jpg,960,300,24.362,0.0,0.0,0.00413124,0.0,0.0
76,316,1.2666666666666666,frame_000076.jpg,960,300,24.3841,0.0,0.0,0.00408164,0.0,0.0
77,317,1.2833333333333334,frame_000077.jpg,960,300,24.3951,0.0,0.0,0.00396765,0.0,0.0
78,318,1.3,frame_000078.jpg,960,300,24.414,0.0,0.0,0.00347749,0.0,0.0
79,319,1.3166666666666667,frame_000079.jpg,960,300,24.427,0.0,0.0,0.00336815,0.0,0.0
80,320,1.3333333333333333,frame_000080.jpg,960,300,24.4465,0.0,0.0,0.00339695,0.0,0.0
81,321,1.35,frame_000081.jpg,960,300,24.4582,0.0,0.0,0.0033263,0.0,0.0
82,322,1.3666666666666667,frame_000082.jpg,960,300,24.48,0.00066,0.0,0.00286998,0.0,0.0
