epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.92,1.55345,5.00024,0.88435,0.57696,0.00816,0.00714,0.00542,1.38578,2.38271,0.83007,1.13242e-05,1.13242e-05,1.13242e-05
2,701.217,1.44511,2.81031,0.83375,0.51579,0.01898,0.01547,0.01149,1.35987,2.06614,0.82323,2.1536e-05,2.1536e-05,2.1536e-05
3,1021.83,1.41709,2.33359,0.82508,0.54471,0.03496,0.02977,0.02239,1.32829,1.89928,0.82051,3.06258e-05,3.06258e-05,3.06258e-05
4,1340.83,1.3786,2.10826,0.82044,0.52597,0.05119,0.04162,0.0315,1.31006,1.83909,0.81609,2.8951e-05,2.8951e-05,2.8951e-05
5,1664.03,1.35505,1.9727,0.81766,0.50581,0.06391,0.05173,0.0398,1.30789,1.78348,0.81583,2.7268e-05,2.7268e-05,2.7268e-05
6,1987.19,1.33922,1.89772,0.81662,0.47097,0.07373,0.05972,0.04596,1.29684,1.75115,0.81289,2.5585e-05,2.5585e-05,2.5585e-05
7,2305.56,1.32415,1.83138,0.81195,0.46043,0.08335,0.07076,0.05465,1.28634,1.70298,0.8137,2.3902e-05,2.3902e-05,2.3902e-05
8,2623.75,1.32429,1.78452,0.80939,0.45929,0.09275,0.07828,0.06063,1.2826,1.7046,0.81017,2.2219e-05,2.2219e-05,2.2219e-05
9,2948.71,1.30531,1.73705,0.80699,0.47447,0.09398,0.08398,0.06446,1.28454,1.68673,0.81089,2.0536e-05,2.0536e-05,2.0536e-05
10,3261.77,1.29372,1.67957,0.80771,0.46068,0.10622,0.09088,0.0707,1.28176,1.67658,0.80928,1.8853e-05,1.8853e-05,1.8853e-05
11,3594.21,1.26797,1.66127,0.80523,0.4687,0.10926,0.09834,0.07638,1.28265,1.68915,0.81061,1.717e-05,1.717e-05,1.717e-05
12,3910.14,1.25451,1.61243,0.80418,0.45823,0.11258,0.10139,0.07763,1.28809,1.6778,0.81052,1.5487e-05,1.5487e-05,1.5487e-05
13,4267.78,1.25125,1.58479,0.80226,0.43762,0.11302,0.10528,0.08207,1.28469,1.68672,0.81028,1.3804e-05,1.3804e-05,1.3804e-05
14,4623.01,1.24274,1.55305,0.80288,0.44484,0.11599,0.10559,0.08229,1.28989,1.69741,0.8112,1.2121e-05,1.2121e-05,1.2121e-05
15,4971.75,1.23645,1.52315,0.80072,0.41904,0.11928,0.10872,0.08453,1.28588,1.70661,0.80997,1.0438e-05,1.0438e-05,1.0438e-05
16,5310.91,1.22888,1.4977,0.79826,0.40331,0.12155,0.10832,0.08403,1.29244,1.73628,0.80967,8.755e-06,8.755e-06,8.755e-06
17,5673.81,1.22435,1.47212,0.7962,0.40511,0.12645,0.1099,0.08523,1.29621,1.76551,0.80867,7.072e-06,7.072e-06,7.072e-06
18,6021.41,1.21827,1.44943,0.79678,0.40637,0.12235,0.11128,0.08635,1.2971,1.77008,0.80805,5.389e-06,5.389e-06,5.389e-06
19,6383.19,1.21572,1.43684,0.79548,0.38947,0.12555,0.11126,0.08611,1.2962,1.7795,0.80874,3.706e-06,3.706e-06,3.706e-06
20,6705.26,1.21212,1.41582,0.79552,0.40095,0.126,0.11249,0.08729,1.30124,1.80045,0.80814,2.023e-06,2.023e-06,2.023e-06
